"","p0Fitted","kgFitted","Tg1Fitted","Tg2Fitted","khFitted","ThFitted","type","freq","rss"
"262",100.1,1.65,42.9,6.2,1.04,47.4,"minimum",32,5.75294939979548
"21",100.1,1.64,44,6.2,1.04,48.9,"minimum",31,2.57621363744835
"64",100,1.51,28.1,5.8,1.05,21.5,"minimum",30,1.49381385605936
"187",100.1,1.69,33.2,6.4,1.04,32.7,"saddle",29,0.382807955244628
"339",100.1,1.65,42.4,6.2,1.04,46.7,"minimum",29,2.10017975832703
"111",100.1,1.69,34.3,6.4,1.04,34.7,"saddle",28,2.47594331424979
"115",100.1,1.69,34.3,6.4,1.04,34.5,"saddle",28,0.336177737480321
"318",100.1,1.65,42.7,6.2,1.04,47.1,"minimum",28,4.55630020533443
"37",100.1,1.64,44.6,6.1,1.04,49.8,"minimum",27,16.5721482950657
"126",100,1.51,28.1,5.8,1.05,21.6,"minimum",27,4.51855098901592
"201",100.1,1.69,35.1,6.4,1.04,35.9,"saddle",27,0.654008906023987
"54",99.9,1.03,28.6,4.4,1.05,13.3,"saddle",26,5.96857990503747
"162",100.1,1.69,33.1,6.4,1.04,32.7,"saddle",26,1.45358039257647
"189",100.1,1.69,34.9,6.4,1.04,35.5,"saddle",26,0.315814181162104
"277",100.1,1.65,42.2,6.2,1.04,46.5,"minimum",26,0.53370372029657
"158",100.1,1.69,34.5,6.4,1.04,35,"saddle",24,1.88577928865468
"247",100.1,1.69,32.8,6.4,1.04,32.1,"saddle",23,0.324686855953997
"345",100.1,1.64,43.5,6.2,1.04,48.3,"minimum",23,0.171009009655735
"190",100.1,1.69,35.2,6.4,1.04,36,"saddle",22,0.318125046643079
"225",100.1,1.69,35.1,6.4,1.04,35.8,"saddle",21,0.351089321462411
"288",100.1,1.65,42.1,6.2,1.04,46.3,"minimum",21,0.700548117180892
"319",100.1,1.65,43.1,6.2,1.04,47.8,"minimum",21,4.2537064224246
"140",100.1,1.64,44.3,6.2,1.04,49.4,"minimum",20,2.8592000347014
"309",100.1,1.64,43.6,6.2,1.04,48.4,"minimum",20,0.32048288155055
"346",100.1,1.66,41.8,6.2,1.04,45.9,"minimum",20,9.76460680161492
"164",100.1,1.64,43.6,6.2,1.04,48.5,"minimum",19,0.227781716705691
"170",100.1,1.69,34,6.4,1.04,34,"saddle",19,0.368928814898989
"243",100.1,1.69,35.3,6.4,1.04,36.2,"saddle",19,0.43707370947442
"273",100.1,1.66,41.9,6.2,1.04,46,"minimum",19,12.7328106975932
"324",100.1,1.65,43.2,6.2,1.04,47.8,"minimum",19,9.67360179115339
"203",100.1,1.65,43.3,6.2,1.04,48.1,"minimum",18,5.44182455575647
"261",100.1,1.65,42.9,6.2,1.04,47.5,"minimum",18,3.22975025965029
"39",100.1,1.64,44.4,6.1,1.04,49.6,"minimum",17,10.3837438028538
"102",100.1,1.64,44.5,6.1,1.04,49.7,"minimum",17,13.2805581878016
"167",100.1,1.66,41.7,6.2,1.04,45.7,"minimum",17,10.8856717833664
"202",100.1,1.65,42,6.2,1.04,46.1,"minimum",17,0.953211557534603
"237",100.1,1.69,34.8,6.4,1.04,35.3,"saddle",17,0.382811466949974
"291",100.1,1.66,41.4,6.3,1.04,45.3,"minimum",17,0.834135621413732
"299",100.1,1.65,42.2,6.2,1.04,46.4,"minimum",17,1.45320800143568
"300",100.1,1.65,42.6,6.2,1.04,47.1,"minimum",17,1.30285374067831
"340",100.1,1.65,42,6.2,1.04,46.2,"minimum",17,0.37204748132817
"107",100,1.54,28.3,5.9,1.05,22.4,"minimum",16,5.80672382420186
"137",100.1,1.69,32.7,6.4,1.04,31.9,"saddle",16,0.360001491826497
"282",100.1,1.65,42.5,6.2,1.04,46.8,"minimum",16,3.51589500736339
"366",100.1,1.66,41.3,6.3,1.04,45.1,"minimum",16,1.19939104207668
"310",100.1,1.64,44.3,6.2,1.04,49.5,"minimum",15,1.21465919260091
"397",100.1,1.65,42.4,6.2,1.04,46.8,"minimum",15,0.842684328129419
"142",100.1,1.69,32.9,6.4,1.04,32.2,"saddle",14,0.470004596887627
"175",100.1,1.69,33.4,6.4,1.04,33,"saddle",14,0.514773335660552
"365",100.1,1.66,41.5,6.3,1.04,45.4,"minimum",14,1.81191061000547
"66",100.1,1.66,40.9,6.3,1.04,44.6,"minimum",13,0.226416822225324
"259",100.1,1.69,33.2,6.4,1.04,32.9,"saddle",13,2.22210293515469
